"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","Tayshaun Prince",3000,"Mem@SA 08:30PM ET",14.667
"PG","Jannero Pargo",3000,"Pho@Cha 07:00PM ET",6.875
"SF","Steve Novak",3000,"Uta@Mia 07:30PM ET",3.604
"PF","Shavlik Randolph",3000,"Pho@Cha 07:00PM ET",3.575
"PG","Nate Robinson",3000,"Hou@Den 10:30PM ET",10.671
"PF","Udonis Haslem",3000,"Uta@Mia 07:30PM ET",9.446
"SF","Cartier Martin",3000,"Dal@Det 07:30PM ET",4.438
"PF","Charlie Villanueva",3000,"Dal@Det 07:30PM ET",4.288
"PF","Anthony Tolliver",3000,"Pho@Cha 07:00PM ET",7.381
"SF","Dorell Wright",3000,"Mil@Por 10:00PM ET",5.250
"C","Greg Stiemsma",3000,"Bkn@Tor 08:00PM ET",4.458
"PG","Jordan Farmar",3000,"Ind@LAC 10:30PM ET",10.355
"PG","Brian Roberts",3000,"Pho@Cha 07:00PM ET",12.155
"PF","Glen Davis",3000,"Ind@LAC 10:30PM ET",6.672
"PF","Joel Anthony",3000,"Dal@Det 07:30PM ET",3.917
"C","Ian Mahinmi",3000,"Ind@LAC 10:30PM ET",14.738
"PF","Jeff Ayres",3000,"Mem@SA 08:30PM ET",6.950
"SF","Chris Douglas-Roberts",3000,"Ind@LAC 10:30PM ET",4.563
"PF","Tyler Hansbrough",3000,"Bkn@Tor 08:00PM ET",7.891
"SF","Alonzo Gee",3000,"Hou@Den 10:30PM ET",10.703
"SG","Thabo Sefolosha",3000,"Atl@Cle 07:00PM ET",14.803
"C","Joel Freeland",3000,"Mil@Por 10:00PM ET",7.553
"PG","A.J. Price",3000,"Atl@Cle 07:00PM ET",14.708
"C","Jerome Jordan",3000,"Bkn@Tor 08:00PM ET",8.191
"SG","Patrick Christopher",3000,"Uta@Mia 07:30PM ET",0
"C","Spencer Hawes",3000,"Ind@LAC 10:30PM ET",16.238
"SG","Quincy Pondexter",3000,"Mem@SA 08:30PM ET",9.222
"SG","Landry Fields",3000,"Bkn@Tor 08:00PM ET",3.679
"C","Ekpe Udoh",3000,"Ind@LAC 10:30PM ET",1.639
"SF","Jeremy Evans",3000,"Uta@Mia 07:30PM ET",1.333
"PF","Mike Scott",3000,"Atl@Cle 07:00PM ET",12.263
"C","Kosta Koufos",3000,"Mem@SA 08:30PM ET",11.388
"PF","Jon Leuer",3000,"Mem@SA 08:30PM ET",13.013
"SG","Marcus Thornton",3000,"Orl@Bos 07:30PM ET",12.474
"PG","Nick Calathes",3000,"Mem@SA 08:30PM ET",3.900
"SF","Austin Daye",3000,"Mem@SA 08:30PM ET",9.768
"SG","Kent Bazemore",3000,"Atl@Cle 07:00PM ET",6.125
"PG","Patty Mills",3000,"Mem@SA 08:30PM ET",0
