"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Zach Miller",2700,"Was@Chi 01:00PM ET",5.483,"Chi"
"TE","Austin Seferian-Jenkins",2700,"NO@TB 01:00PM ET",14.000,"TB"
"DST","Browns ",2600,"SF@Cle 01:00PM ET",5.250,"Cle"
"DST","Dolphins ",2600,"NYG@Mia 08:30PM ET",6.833,"Mia"
"DST","Steelers ",2600,"Pit@Cin 01:00PM ET",8.833,"Pit"
"DST","Redskins ",2600,"Was@Chi 01:00PM ET",7.750,"Was"
"TE","Zach Ertz",2600,"Buf@Phi 01:00PM ET",7.845,"Phi"
"DST","Falcons ",2500,"Atl@Car 01:00PM ET",6.500,"Atl"
"DST","Bears ",2500,"Was@Chi 01:00PM ET",5.500,"Chi"
"DST","Giants ",2500,"NYG@Mia 08:30PM ET",9.000,"NYG"
"DST","Eagles ",2500,"Buf@Phi 01:00PM ET",9.583,"Phi"
"TE","Craig Stevens",2500,"Ten@NYJ 01:00PM ET",2.733,"Ten"
"TE","Marcedes Lewis",2500,"Ind@Jax 01:00PM ET",2.067,"Jax"
"TE","Matt Spaeth",2500,"Pit@Cin 01:00PM ET",0.333,"Pit"
"TE","Clark Harris",2500,"Pit@Cin 01:00PM ET",0.000,"Cin"
"TE","Anthony Fasano",2500,"Ten@NYJ 01:00PM ET",4.808,"Ten"
"TE","Brandon Pettigrew",2500,"Det@StL 01:00PM ET",2.571,"Det"
"TE","Kellen Davis",2500,"Ten@NYJ 01:00PM ET",0.742,"NYJ"
"TE","Brandon Myers",2500,"NO@TB 01:00PM ET",2.245,"TB"
"TE","Tony Moeaki",2500,"Atl@Car 01:00PM ET",0.300,"Atl"
"TE","David Johnson",2500,"SD@KC 01:00PM ET",0.033,"SD"
"TE","Clay Harbor",2500,"Ind@Jax 01:00PM ET",2.391,"Jax"
"TE","Ed Dickson",2500,"Atl@Car 01:00PM ET",3.142,"Car"
"TE","Jared Cook",2500,"Det@StL 01:00PM ET",6.175,"StL"
"TE","Chase Coffman",2500,"Sea@Bal 01:00PM ET",8.200,"Sea"
"TE","Garrett Graham",2500,"NE@Hou 08:30PM ET",1.625,"Hou"
"TE","Andrew DePaola",2500,"NO@TB 01:00PM ET",0.000,"TB"
"TE","Jim Dray",2500,"SF@Cle 01:00PM ET",0.775,"Cle"
"TE","Virgil Green",2500,"Oak@Den 04:05PM ET",2.592,"Den"
"TE","John Phillips",2500,"SD@KC 01:00PM ET",1.750,"SD"
"TE","Kyle Nelson",2500,"SF@Cle 01:00PM ET",0.000,"SF"
"TE","Matthew Mulligan",2500,"Buf@Phi 01:00PM ET",0.100,"Buf"
"TE","Lance Kendricks",2500,"Det@StL 01:00PM ET",4.282,"StL"
"TE","Jeff Cumberland",2500,"Ten@NYJ 01:00PM ET",1.155,"NYJ"
"TE","Michael Hoomanawanui",2500,"NO@TB 01:00PM ET",2.550,"NO"
"TE","Lee Smith",2500,"Oak@Den 04:05PM ET",2.027,"Oak"
"TE","Luke Stocker",2500,"NO@TB 01:00PM ET",0.660,"TB"
"TE","Jordan Cameron",2500,"NYG@Mia 08:30PM ET",5.717,"Mia"
"TE","Patrick Scales",2500,"Was@Chi 01:00PM ET",0.000,"Chi"
"TE","Larry Donnell",2500,"NYG@Mia 08:30PM ET",7.913,"NYG"
"TE","Garrett Celek",2500,"SF@Cle 01:00PM ET",5.055,"SF"
"TE","James Hanna",2500,"Dal@GB 04:25PM ET",0.640,"Dal"
"TE","Jake Stoneburner",2500,"NYG@Mia 08:30PM ET",3.100,"Mia"
"TE","Mychal Rivera",2500,"Oak@Den 04:05PM ET",3.658,"Oak"
"TE","Cory Harkey",2500,"Det@StL 01:00PM ET",0.450,"StL"
"TE","Beau Brinkley",2500,"Ten@NYJ 01:00PM ET",0.000,"Ten"
"TE","Dwayne Allen",2500,"Ind@Jax 01:00PM ET",2.970,"Ind"
"TE","Tim Wright",2500,"Det@StL 01:00PM ET",3.467,"Det"
"TE","Ryan Griffin",2500,"NE@Hou 08:30PM ET",8.220,"Hou"
"TE","Michael Williams",2500,"NE@Hou 08:30PM ET",0.355,"NE"
"TE","Chris Gragg",2500,"Buf@Phi 01:00PM ET",2.044,"Buf"
"TE","Luke Willson",2500,"Sea@Bal 01:00PM ET",3.527,"Sea"
"TE","Josh Hill",2500,"NO@TB 01:00PM ET",2.817,"NO"
"TE","James Winchester",2500,"SD@KC 01:00PM ET",0.000,"KC"
"TE","Jack Doyle",2500,"Ind@Jax 01:00PM ET",1.767,"Ind"
"TE","Justin Perillo",2500,"Dal@GB 04:25PM ET",3.486,"GB"
"TE","Ryan Hewitt",2500,"Pit@Cin 01:00PM ET",1.175,"Cin"
"TE","Levine Toilolo",2500,"Atl@Car 01:00PM ET",0.967,"Atl"
"TE","Gabe Holmes",2500,"Oak@Den 04:05PM ET",0,"Oak"
"TE","Gavin Escobar",2500,"Dal@GB 04:25PM ET",1.617,"Dal"
"TE","Dion Sims",2500,"NYG@Mia 08:30PM ET",2.400,"Mia"
"TE","Jerome Cunningham",2500,"NYG@Mia 08:30PM ET",1.620,"NYG"
"TE","Nic Jacobs",2500,"Ind@Jax 01:00PM ET",0.145,"Jax"
"TE","Cooper Helfet",2500,"Sea@Bal 01:00PM ET",0.400,"Sea"
"TE","Trey Burton",2500,"Buf@Phi 01:00PM ET",0.575,"Phi"
"TE","Blake Bell",2500,"SF@Cle 01:00PM ET",1.590,"SF"
"TE","Je'Ron Hamm",2500,"Was@Chi 01:00PM ET",0.000,"Was"
"TE","Cameron Brate",2500,"NO@TB 01:00PM ET",5.360,"TB"
"TE","Clive Walford",2500,"Oak@Den 04:05PM ET",4.700,"Oak"
"TE","C.J. Fiedorowicz",2500,"NE@Hou 08:30PM ET",2.808,"Hou"
"TE","Asante Cleveland",2500,"NE@Hou 08:30PM ET",0.550,"NE"
"TE","Brian Parker",2500,"SD@KC 01:00PM ET",0.320,"KC"
"TE","Scott Simonson",2500,"Atl@Car 01:00PM ET",0.000,"Car"
"TE","Tyler Kroft",2500,"Pit@Cin 01:00PM ET",0.342,"Cin"
"TE","C.J. Uzomah",2500,"Pit@Cin 01:00PM ET",1.400,"Cin"
"TE","Demetrius Harris",2500,"SD@KC 01:00PM ET",0.675,"KC"
"TE","Nick Boyle",2500,"Sea@Bal 01:00PM ET",3.209,"Bal"
"TE","Kennard Backman",2500,"Dal@GB 04:25PM ET",0.000,"GB"
"TE","Phillip Supernaw",2500,"Ten@NYJ 01:00PM ET",0.217,"Ten"
"TE","Maxx Williams",2500,"Sea@Bal 01:00PM ET",4.180,"Bal"
"TE","Jesse James",2500,"Pit@Cin 01:00PM ET",5.075,"Pit"
"TE","Derek Carrier",2500,"Was@Chi 01:00PM ET",3.218,"Was"
"TE","Geoff Swaim",2500,"Dal@GB 04:25PM ET",0.500,"Dal"
"TE","E.J. Bibbs",2500,"SF@Cle 01:00PM ET",0.567,"Cle"
"TE","Khari Lee",2500,"Was@Chi 01:00PM ET",0.142,"Chi"
"DST","Titans ",2300,"Ten@NYJ 01:00PM ET",6.667,"Ten"
"DST","Colts ",2300,"Ind@Jax 01:00PM ET",6.500,"Ind"
"DST","Raiders ",2300,"Oak@Den 04:05PM ET",5.917,"Oak"
"DST","Jaguars ",2300,"Ind@Jax 01:00PM ET",5.833,"Jax"
"DST","Ravens ",2300,"Sea@Bal 01:00PM ET",7.417,"Bal"
"DST","Texans ",2200,"NE@Hou 08:30PM ET",7.000,"Hou"
"DST","Buccaneers ",2200,"NO@TB 01:00PM ET",8.000,"TB"
"DST","Cowboys ",2100,"Dal@GB 04:25PM ET",5.583,"Dal"
"DST","Saints ",2100,"NO@TB 01:00PM ET",5.250,"NO"
"DST","Chargers ",2100,"SD@KC 01:00PM ET",4.167,"SD"
"DST","49ers ",2100,"SF@Cle 01:00PM ET",4.500,"SF"
